brick1.jpg
Crop  1 :   [7.9274, 0.9065, 0.0704, 0.1326, 0.1494, 0.0249, 0.0117, 0.0252, 0.0196, 0.0156, 0.0552]
Crop  2 :   [8.0554, 0.9039, 0.0685, 0.132, 0.1366, 0.0235, 0.0117, 0.0236, 0.0195, 0.0158, 0.0502]
Crop  3 :   [7.628, 0.9215, 0.0801, 0.1318, 0.1421, 0.0227, 0.0128, 0.024, 0.0197, 0.0167, 0.0516]
Crop  4 :   [8.2823, 0.9076, 0.065, 0.133, 0.1305, 0.0208, 0.011, 0.0223, 0.0191, 0.0148, 0.0522]   
Crop  5 :   [7.8851, 0.9059, 0.0707, 0.1329, 0.1703, 0.0228, 0.0116, 0.0267, 0.0196, 0.0154, 0.0545]
Crop  6 :   [8.2863, 0.9033, 0.0676, 0.1324, 0.1583, 0.0226, 0.0114, 0.0254, 0.0197, 0.0159, 0.0523]
Crop  7 :   [7.5887, 0.9203, 0.0776, 0.1321, 0.1519, 0.023, 0.0127, 0.0251, 0.0199, 0.016, 0.0506]
Crop  8 :   [7.6018, 0.9199, 0.0764, 0.1309, 0.147, 0.0275, 0.0131, 0.0261, 0.0197, 0.0179, 0.0614]
Crop  9 :   [8.2157, 0.9009, 0.0755, 0.1318, 0.1477, 0.0237, 0.0122, 0.0246, 0.0197, 0.0151, 0.0536]
Crop  10 :   [8.5665, 0.8808, 0.0731, 0.1322, 0.153, 0.0276, 0.0124, 0.0271, 0.02, 0.017, 0.058]
brick10.jpg
Crop  1 :   [12.2611, 0.6884, 0.0643, 0.1303, 0.1594, 0.0309, 0.0129, 0.0316, 0.0203, 0.0195, 0.0986]
Crop  2 :   [13.6794, 0.5217, 0.0668, 0.1335, 0.1543, 0.0296, 0.0131, 0.0302, 0.0209, 0.0197, 0.0923]
Crop  3 :   [16.3609, 0.3966, 0.0704, 0.1336, 0.1509, 0.0335, 0.0141, 0.0318, 0.0209, 0.0206, 0.1006]
Crop  4 :   [15.9758, 0.3989, 0.0696, 0.1339, 0.1529, 0.0333, 0.0136, 0.0321, 0.0208, 0.0201, 0.096]
Crop  5 :   [13.8085, 0.4828, 0.0686, 0.1343, 0.152, 0.03, 0.0135, 0.0294, 0.0206, 0.0214, 0.0866]  
Crop  6 :   [14.625, 0.4821, 0.0691, 0.1341, 0.1499, 0.0338, 0.014, 0.0326, 0.0211, 0.0216, 0.1042]
Crop  7 :   [16.0131, 0.3662, 0.0701, 0.133, 0.1521, 0.0306, 0.0133, 0.03, 0.0204, 0.0196, 0.0884]
Crop  8 :   [15.8407, 0.3509, 0.0722, 0.1326, 0.1424, 0.0312, 0.0137, 0.03, 0.0204, 0.0202, 0.093]
Crop  9 :   [13.1603, 0.4789, 0.0683, 0.1338, 0.1438, 0.0308, 0.0132, 0.0295, 0.0206, 0.0202, 0.091]
Crop  10 :   [13.9264, 0.4913, 0.0689, 0.1321, 0.1512, 0.0303, 0.0135, 0.0305, 0.0206, 0.0214, 0.1018]
brick2.jpg
Crop  1 :   [10.994, 0.7006, 0.0898, 0.137, 0.1563, 0.0292, 0.0157, 0.0305, 0.0227, 0.0213, 0.0891]
Crop  2 :   [11.0907, 0.7071, 0.079, 0.1354, 0.141, 0.0278, 0.0146, 0.0284, 0.0213, 0.0216, 0.0876]  
Crop  3 :   [10.6179, 0.6437, 0.0853, 0.1372, 0.1482, 0.0289, 0.0149, 0.0297, 0.0222, 0.0197, 0.0854]
Crop  4 :   [11.3327, 0.7226, 0.0822, 0.1358, 0.1357, 0.0302, 0.0142, 0.0303, 0.022, 0.0191, 0.0996]
Crop  5 :   [10.5615, 0.684, 0.0792, 0.1372, 0.1404, 0.0264, 0.0139, 0.0278, 0.0216, 0.0204, 0.0826]
Crop  6 :   [10.6946, 0.6563, 0.0805, 0.1384, 0.1615, 0.0288, 0.0142, 0.0311, 0.0223, 0.0195, 0.0928]
Crop  7 :   [10.7792, 0.6084, 0.0851, 0.1378, 0.1615, 0.0298, 0.0152, 0.0316, 0.0225, 0.0202, 0.0901]
Crop  8 :   [10.5978, 0.7349, 0.0769, 0.1355, 0.1458, 0.0289, 0.0136, 0.0293, 0.0215, 0.0186, 0.095]
Crop  9 :   [11.7762, 0.6348, 0.0826, 0.1361, 0.1488, 0.031, 0.0147, 0.0319, 0.0223, 0.0205, 0.1076]
Crop  10 :   [10.4405, 0.6891, 0.0898, 0.1371, 0.1497, 0.0286, 0.0155, 0.0281, 0.0226, 0.021, 0.0731]
brick3.jpg
Crop  1 :   [13.9929, 0.5683, 0.0777, 0.1347, 0.1498, 0.0278, 0.0135, 0.0286, 0.0211, 0.0185, 0.0788]
Crop  2 :   [13.9617, 0.4599, 0.0797, 0.1353, 0.1604, 0.0259, 0.0134, 0.0281, 0.0213, 0.0171, 0.0717]
Crop  3 :   [13.9446, 0.5023, 0.0805, 0.1347, 0.1471, 0.0273, 0.0141, 0.0285, 0.0213, 0.0192, 0.0791]
Crop  4 :   [16.5978, 0.5384, 0.0705, 0.133, 0.14, 0.0267, 0.0126, 0.0269, 0.0203, 0.0188, 0.0741]
Crop  5 :   [14.629, 0.5718, 0.0771, 0.1326, 0.1592, 0.0292, 0.0142, 0.0299, 0.0212, 0.0206, 0.0872]
Crop  6 :   [15.7319, 0.5258, 0.0784, 0.134, 0.1459, 0.0282, 0.0139, 0.0277, 0.0214, 0.0197, 0.0766]
Crop  7 :   [12.4425, 0.5526, 0.0833, 0.1378, 0.1395, 0.0266, 0.0137, 0.0266, 0.0216, 0.0167, 0.0728]
Crop  8 :   [11.7913, 0.5667, 0.0866, 0.1375, 0.1527, 0.0249, 0.0138, 0.0271, 0.0219, 0.016, 0.07]
Crop  9 :   [12.4315, 0.5504, 0.081, 0.1357, 0.1465, 0.0275, 0.0133, 0.0279, 0.0214, 0.0173, 0.0773]
Crop  10 :   [17.2278, 0.5171, 0.0686, 0.1341, 0.1398, 0.0284, 0.0133, 0.0278, 0.0206, 0.02, 0.0786]
brick4.jpg
Crop  1 :   [12.2389, 0.5295, 0.0766, 0.1344, 0.1393, 0.0321, 0.0137, 0.0304, 0.0213, 0.0186, 0.1008]
Crop  2 :   [13.5635, 0.5727, 0.0755, 0.1328, 0.1536, 0.03, 0.0133, 0.0319, 0.0212, 0.0188, 0.1076]
Crop  3 :   [12.2429, 0.5416, 0.0792, 0.1367, 0.1406, 0.0268, 0.013, 0.029, 0.0215, 0.0167, 0.0916]
Crop  4 :   [13.4556, 0.4696, 0.0742, 0.1352, 0.1328, 0.0274, 0.0127, 0.0286, 0.0211, 0.0168, 0.0989]
Crop  5 :   [12.5978, 0.4938, 0.0844, 0.1362, 0.1382, 0.0285, 0.014, 0.0281, 0.0217, 0.0173, 0.0851]
Crop  6 :   [12.7379, 0.6214, 0.0768, 0.1346, 0.1601, 0.0318, 0.0138, 0.0321, 0.0215, 0.0198, 0.0958]
Crop  7 :   [12.6754, 0.5838, 0.0731, 0.135, 0.1371, 0.028, 0.0129, 0.0281, 0.0209, 0.0171, 0.0884]
Crop  8 :   [12.7772, 0.5168, 0.0803, 0.1359, 0.1416, 0.0294, 0.0142, 0.03, 0.0216, 0.0189, 0.0935]
Crop  9 :   [14.2792, 0.38, 0.0811, 0.1368, 0.1475, 0.0281, 0.0135, 0.0296, 0.0219, 0.0175, 0.0907]
Crop  10 :   [12.8347, 0.5512, 0.0803, 0.1357, 0.1332, 0.0285, 0.0134, 0.0292, 0.0214, 0.0178, 0.1002]
brick5.jpg
Crop  1 :   [18.7167, 0.5368, 0.0652, 0.1323, 0.1385, 0.0337, 0.0133, 0.0329, 0.0204, 0.0201, 0.1203]
Crop  2 :   [17.7117, 0.6301, 0.0639, 0.1323, 0.1399, 0.032, 0.0121, 0.0313, 0.02, 0.018, 0.1078]
Crop  3 :   [21.126, 0.4892, 0.0636, 0.1314, 0.1332, 0.0338, 0.0129, 0.0323, 0.0201, 0.0207, 0.1069]
Crop  4 :   [17.3619, 0.629, 0.0637, 0.1323, 0.1457, 0.0328, 0.0123, 0.0331, 0.02, 0.0175, 0.1156]
Crop  5 :   [21.6079, 0.4447, 0.0587, 0.1322, 0.1412, 0.035, 0.0128, 0.033, 0.0199, 0.0201, 0.1175]
Crop  6 :   [18.1442, 0.5622, 0.0617, 0.1311, 0.126, 0.0348, 0.0128, 0.0329, 0.0198, 0.0199, 0.1214]
Crop  7 :   [21.8962, 0.3908, 0.0671, 0.1325, 0.125, 0.037, 0.0144, 0.0341, 0.0204, 0.0229, 0.1191]
Crop  8 :   [20.8841, 0.3722, 0.0598, 0.1322, 0.1318, 0.0362, 0.0129, 0.0336, 0.02, 0.0211, 0.1222]
Crop  9 :   [23.5222, 0.3301, 0.0633, 0.1325, 0.1371, 0.0364, 0.0132, 0.0365, 0.0204, 0.0207, 0.1453]
Crop  10 :   [19.3266, 0.5318, 0.068, 0.1322, 0.1288, 0.0358, 0.0136, 0.0325, 0.0201, 0.0206, 0.125]
brick6.jpg
Crop  1 :   [16.3488, 0.4695, 0.0643, 0.1331, 0.1372, 0.0324, 0.0129, 0.0326, 0.0205, 0.0204, 0.1128]
Crop  2 :   [15.9798, 0.5687, 0.0709, 0.1341, 0.1301, 0.0324, 0.0139, 0.031, 0.0212, 0.0221, 0.1073]
Crop  3 :   [15.9597, 0.533, 0.067, 0.1342, 0.1269, 0.0328, 0.0129, 0.0314, 0.0204, 0.0199, 0.1118]
Crop  4 :   [15.2641, 0.5329, 0.0714, 0.1356, 0.1408, 0.0324, 0.0139, 0.0314, 0.0213, 0.0208, 0.1015]
Crop  5 :   [15.3075, 0.5107, 0.0679, 0.1331, 0.1448, 0.0312, 0.013, 0.0324, 0.0205, 0.0192, 0.111]
Crop  6 :   [14.9304, 0.5967, 0.0698, 0.1337, 0.1393, 0.0297, 0.0138, 0.0314, 0.0208, 0.0223, 0.108]
Crop  7 :   [15.8135, 0.4848, 0.0667, 0.134, 0.1223, 0.031, 0.0128, 0.0299, 0.0203, 0.0201, 0.1081]
Crop  8 :   [15.6764, 0.5593, 0.0741, 0.1339, 0.1386, 0.0326, 0.0141, 0.0325, 0.0212, 0.0208, 0.1153]
Crop  9 :   [16.4798, 0.506, 0.0699, 0.1339, 0.1291, 0.0347, 0.0135, 0.0322, 0.0205, 0.0201, 0.113]
Crop  10 :   [14.9688, 0.5517, 0.0663, 0.1343, 0.1359, 0.0309, 0.0132, 0.0312, 0.0207, 0.02, 0.1105]
brick7.jpg
Crop  1 :   [12.249, 0.5762, 0.0738, 0.1347, 0.1471, 0.0294, 0.0132, 0.0322, 0.0212, 0.0179, 0.1114]
Crop  2 :   [13.2188, 0.4997, 0.0752, 0.1354, 0.1339, 0.0293, 0.0132, 0.0302, 0.0212, 0.0178, 0.1045]
Crop  3 :   [11.4456, 0.708, 0.0746, 0.1354, 0.1551, 0.0283, 0.0128, 0.0315, 0.0212, 0.016, 0.1061]
Crop  4 :   [11.9103, 0.5921, 0.0745, 0.1357, 0.15, 0.0304, 0.013, 0.0318, 0.0213, 0.0168, 0.1106]
Crop  5 :   [12.0948, 0.589, 0.0716, 0.1355, 0.1504, 0.0302, 0.0127, 0.0319, 0.0213, 0.0171, 0.1057]
